,time,discharge,u_error,l_error
0,16/01/2016,0.21096672,0.067815163,0.087626131
1,09/02/2016,0.184711188,0.050986359,0.072359924
2,21/02/2016,0.191939494,0.06354066,0.080149084
3,04/03/2016,0.175982397,0.058010631,0.073581598
4,16/03/2016,0.171686154,0.063094071,0.075163912
5,28/03/2016,0.185150185,0.053431963,0.073817226
6,05/04/2016,0.20184677,0.170917079,0.136253276
7,09/04/2016,0.19054239,0.121434528,0.109062585
8,17/04/2016,0.215053506,0.128595912,0.118771786
9,21/04/2016,0.210822641,0.082879138,0.094995742
10,03/05/2016,0.22458969,0.07657177,0.095246646
11,06/05/2016,0.25593058,0.082158408,0.105885888
12,15/05/2016,0.306148294,0.086235793,0.121538181
13,23/05/2016,0.166977903,0.057044717,0.070737496
14,27/05/2016,0.139193192,0.060107904,0.065126471
15,01/06/2016,0.199410514,0.06982958,0.085912129
16,04/06/2016,0.308046186,0.09257598,0.125509319
17,08/06/2016,0.368595091,0.087291143,0.136961178
18,05/07/2016,0.298314705,0.077868214,0.115642109
19,10/07/2016,0.271119807,0.074415862,0.107082972
20,17/07/2016,0.334441551,0.079380229,0.125985326
21,26/07/2016,0.22928119,0.053610481,0.083981588
22,29/07/2016,0.315181068,0.067796362,0.113786695
23,03/08/2016,0.278643028,0.065436078,0.103710161
24,07/08/2016,0.189666973,0.050434926,0.07319559
25,10/08/2016,0.258826636,0.062129208,0.097165915
26,19/08/2016,0.188522922,0.049654463,0.072415318
27,27/08/2016,0.284132974,0.071567384,0.108185583
28,31/08/2016,0.186743459,0.075323044,0.085212979
29,03/09/2016,0.238560373,0.060874928,0.09058218
30,08/09/2016,0.174505211,0.058320055,0.073530961
31,15/09/2016,0.161772706,0.06839223,0.075443585
32,20/09/2016,0.160693391,0.05508077,0.06878366
33,24/09/2016,0.172439682,0.059011449,0.072690654
34,14/10/2016,0.133231492,0.06694678,0.066506969
35,21/10/2016,0.148703425,0.078958042,0.077124024
36,26/10/2016,0.16477081,0.089587681,0.08736817
37,07/11/2016,0.151833495,0.108139477,0.093092556
38,11/11/2016,0.159557496,0.08309524,0.081977457
39,23/11/2016,0.181243392,0.06658823,0.079405427
40,26/11/2016,0.161109965,0.085803242,0.083834228
41,29/11/2016,0.183665937,0.064152757,0.078590624
42,08/12/2016,0.155770683,0.081941244,0.080488095
43,20/12/2016,0.168631704,0.059099806,0.072655568
44,25/12/2016,0.173228491,0.056353925,0.071990882
45,29/12/2016,0.175071223,0.066130022,0.077749915
46,01/01/2017,0.159180691,0.082063546,0.081485872
47,04/01/2017,0.164110323,0.054703426,0.068510591
48,13/01/2017,0.159684239,0.05959809,0.070227561
49,06/02/2017,0.150298866,0.046571316,0.061216855
50,09/02/2017,0.182365066,0.091958323,0.091793361
51,12/02/2017,0.167313648,0.048158868,0.06651628
52,15/02/2017,0.19456446,0.094731047,0.096475795
53,18/02/2017,0.148754524,0.05157981,0.063733077
54,05/03/2017,0.183823707,0.062485314,0.078218702
55,07/03/2017,0.17389532,0.051633568,0.070053957
56,11/03/2017,0.184319447,0.062275776,0.078306244
57,14/03/2017,0.143034367,0.06044501,0.066494188
58,17/03/2017,0.166409186,0.093394781,0.088520368
59,26/03/2017,0.156538824,0.076815682,0.07724366
60,29/03/2017,0.165815305,0.087602554,0.085402299
61,10/04/2017,0.187699435,0.088969685,0.092125075
62,12/04/2017,0.138281656,0.053850274,0.06168394
63,16/04/2017,0.172343196,0.066135173,0.076216411
64,19/04/2017,0.147505053,0.121523534,0.097576184
65,22/04/2017,0.223811181,0.104606546,0.1099216
66,28/04/2017,0.190757754,0.11831408,0.107584181
67,01/05/2017,0.167320849,0.159705137,0.121863552
68,04/05/2017,0.152002849,0.158190939,0.116810643
69,10/05/2017,0.173440055,0.115402102,0.101308835
70,22/05/2017,0.217186484,0.065870912,0.088148409
71,25/05/2017,0.203125633,0.075541702,0.089300063
72,28/05/2017,0.211969593,0.070062662,0.088683739
73,09/06/2017,0.28050833,0.077074373,0.109870185
74,21/06/2017,0.242344301,0.053467075,0.087126843
75,27/06/2017,0.261356037,0.076802751,0.104579996
76,03/07/2017,0.209803306,0.058065533,0.082279627
77,06/07/2017,0.243415111,0.065728458,0.095347324
78,09/07/2017,0.251930076,0.063166151,0.095315971
79,15/07/2017,0.237495155,0.055787037,0.087069421
80,18/07/2017,0.265153424,0.060324898,0.098567548
81,21/07/2017,0.215156857,0.064398045,0.086318706
82,27/07/2017,0.209344821,0.052953427,0.078822106
83,04/08/2017,0.255795428,0.060364153,0.095987745
84,08/08/2017,0.190889941,0.050318468,0.073833646
85,10/08/2017,0.23107765,0.058232387,0.08843001
86,14/08/2017,0.189158043,0.062800104,0.078731571
87,16/08/2017,0.23663955,0.074315279,0.097520816
88,17/08/2017,0.248488602,0.070499474,0.098756605
89,23/08/2017,0.216621631,0.055966527,0.083219327
90,26/08/2017,0.243489442,0.06052944,0.092185958
91,28/08/2017,0.259527593,0.063242521,0.097601007
92,01/09/2017,0.252461196,0.061065765,0.094360013
93,04/09/2017,0.308065476,0.076395171,0.116985699
94,07/09/2017,0.157639875,0.052359338,0.065903878
95,09/09/2017,0.21815401,0.05671541,0.083295748
96,15/09/2017,0.228692153,0.067099387,0.092515743
97,21/09/2017,0.214006351,0.064933858,0.087053411
98,22/09/2017,0.204108724,0.072454345,0.088321282
99,25/09/2017,0.193783093,0.080257186,0.088883361
100,27/09/2017,0.185456144,0.077061309,0.085302661
101,28/09/2017,0.183006423,0.08051641,0.086409476
102,01/10/2017,0.174642946,0.067654545,0.078391975
103,03/10/2017,0.152074687,0.063335806,0.07022961
104,04/10/2017,0.145364811,0.052842871,0.063096939
105,10/10/2017,0.146450154,0.068245593,0.071131802
106,15/10/2017,0.156690674,0.051673991,0.065399132
107,16/10/2017,0.179054476,0.055521157,0.073603356
108,21/10/2017,0.159612745,0.089328597,0.084755999
109,22/10/2017,0.161578865,0.069539578,0.075421913
110,25/10/2017,0.178563871,0.08836577,0.08972184
111,27/10/2017,0.186872915,0.112460805,0.103065602
112,28/10/2017,0.161105395,0.099071453,0.090023278
113,02/11/2017,0.19105014,0.114626736,0.105156872
114,06/11/2017,0.222191212,0.088577179,0.101561404
115,08/11/2017,0.165810854,0.108034676,0.095783378
116,09/11/2017,0.175565679,0.083813083,0.085940216
117,14/11/2017,0.180029343,0.081378565,0.086052705
118,20/11/2017,0.141035401,0.082252641,0.076041116
