,time,discharge,u_error,l_error,width_averaged_thickness,width_averaged_thickness_bedmachine
0,16/01/2016,0.195468566,0.065129935,0.082504322,289.1991,294.3438
1,09/02/2016,0.171809344,0.049269396,0.068482727,289.1991,294.3438
2,21/02/2016,0.178746437,0.060839022,0.075478767,289.1991,294.3438
3,04/03/2016,0.163730708,0.05561876,0.069332396,289.1991,294.3438
4,16/03/2016,0.159710674,0.060271257,0.070648417,289.1991,294.3438
5,28/03/2016,0.17208547,0.051552086,0.06978551,289.1991,294.3438
6,05/04/2016,0.18683836,0.159812276,0.124951388,289.1991,294.3438
7,09/04/2016,0.176180475,0.114199718,0.100776593,289.1991,294.3438
8,17/04/2016,0.19858478,0.121085831,0.109857388,289.1991,294.3438
9,21/04/2016,0.195606695,0.078978452,0.089024486,289.1991,294.3438
10,03/05/2016,0.208360993,0.073311362,0.089548722,289.1991,294.3438
11,06/05/2016,0.237670775,0.078829643,0.09972846,289.1991,294.3438
12,15/05/2016,0.282957691,0.083421728,0.114772822,289.1991,294.3438
13,23/05/2016,0.155242049,0.054588581,0.066543914,289.1991,294.3438
14,27/05/2016,0.129008631,0.057022554,0.060775561,289.1991,294.3438
15,01/06/2016,0.184799651,0.066895378,0.080783092,289.1991,294.3438
16,04/06/2016,0.284154421,0.089351375,0.118296451,289.1991,294.3438
17,08/06/2016,0.342795403,0.08495644,0.13002764,289.1991,294.3438
18,05/07/2016,0.275780526,0.07567926,0.109474339,289.1991,294.3438
19,10/07/2016,0.250328948,0.072171248,0.101224458,289.1991,294.3438
20,17/07/2016,0.308689296,0.077624845,0.119493533,289.1991,294.3438
21,26/07/2016,0.214497802,0.052018225,0.079819155,289.1991,294.3438
22,29/07/2016,0.293431262,0.066369979,0.108345441,289.1991,294.3438
23,03/08/2016,0.25843337,0.063811135,0.09843067,289.1991,294.3438
24,07/08/2016,0.176127061,0.048777559,0.069234375,289.1991,294.3438
25,10/08/2016,0.239561503,0.060544657,0.092106722,289.1991,294.3438
26,19/08/2016,0.175262194,0.048018695,0.068526178,289.1991,294.3438
27,27/08/2016,0.263701259,0.069545188,0.102565704,289.1991,294.3438
28,31/08/2016,0.172696929,0.071731448,0.079707475,289.1991,294.3438
29,03/09/2016,0.222007246,0.058958629,0.085821807,289.1991,294.3438
30,08/09/2016,0.161405695,0.05590546,0.069094054,289.1991,294.3438
31,15/09/2016,0.149754028,0.065046764,0.070529563,289.1991,294.3438
32,20/09/2016,0.148674275,0.052856777,0.064706649,289.1991,294.3438
33,24/09/2016,0.160906938,0.056362884,0.068393931,289.1991,294.3438
34,14/10/2016,0.124147364,0.063136595,0.061837686,289.1991,294.3438
35,21/10/2016,0.137538401,0.074540599,0.071582565,289.1991,294.3438
36,26/10/2016,0.151547326,0.084740365,0.081092166,289.1991,294.3438
37,07/11/2016,0.139466205,0.101602148,0.085729071,289.1991,294.3438
38,11/11/2016,0.14794967,0.078499698,0.076213918,289.1991,294.3438
39,23/11/2016,0.168316711,0.063620389,0.074590318,289.1991,294.3438
40,26/11/2016,0.149152651,0.081047307,0.077881336,289.1991,294.3438
41,29/11/2016,0.170407637,0.061351545,0.07383322,289.1991,294.3438
42,08/12/2016,0.144421109,0.07740864,0.074823825,289.1991,294.3438
43,20/12/2016,0.156551304,0.056610915,0.068367683,289.1991,294.3438
44,25/12/2016,0.161228382,0.054034059,0.067845522,289.1991,294.3438
45,29/12/2016,0.162321686,0.063148704,0.072960231,289.1991,294.3438
46,01/01/2017,0.147218478,0.077582318,0.075737062,288.44125,294.3438
47,04/01/2017,0.153232765,0.052316921,0.064541236,288.44125,294.3438
48,13/01/2017,0.14822851,0.056861502,0.065881273,288.44125,294.3438
49,06/02/2017,0.139864917,0.044716649,0.057733485,288.44125,294.3438
50,09/02/2017,0.16951802,0.086850242,0.085398179,288.44125,294.3438
51,12/02/2017,0.155472626,0.046437701,0.062849346,288.44125,294.3438
52,15/02/2017,0.180438461,0.089608537,0.089812932,288.44125,294.3438
53,18/02/2017,0.137869456,0.049400647,0.05991677,288.44125,294.3438
54,05/03/2017,0.170508081,0.059924382,0.073628765,288.44125,294.3438
55,07/03/2017,0.16129133,0.049755848,0.066117165,288.44125,294.3438
56,11/03/2017,0.171151192,0.059763044,0.073782113,288.44125,294.3438
57,14/03/2017,0.13294503,0.057450397,0.062230201,288.44125,294.3438
58,17/03/2017,0.154663928,0.087988338,0.082124443,288.44125,294.3438
59,26/03/2017,0.14588153,0.072482718,0.071867523,288.44125,294.3438
60,29/03/2017,0.15449076,0.082638373,0.079420972,288.44125,294.3438
61,10/04/2017,0.174464897,0.084287858,0.085969743,288.44125,294.3438
62,12/04/2017,0.128679248,0.051240309,0.057804825,288.44125,294.3438
63,16/04/2017,0.160539468,0.062916959,0.071440547,288.44125,294.3438
64,19/04/2017,0.136817151,0.113584066,0.089503416,288.44125,294.3438
65,22/04/2017,0.205646149,0.099321157,0.10232497,288.44125,294.3438
66,28/04/2017,0.176737164,0.11134302,0.099563524,288.44125,294.3438
67,01/05/2017,0.154603807,0.14905323,0.111361038,288.44125,294.3438
68,04/05/2017,0.141242937,0.147354525,0.106563064,288.44125,294.3438
69,10/05/2017,0.160994942,0.108343382,0.093540035,288.44125,294.3438
70,22/05/2017,0.201304522,0.063403322,0.083112039,288.44125,294.3438
71,25/05/2017,0.188297069,0.072106872,0.083754484,288.44125,294.3438
72,28/05/2017,0.19701293,0.067129787,0.083485556,288.44125,294.3438
73,09/06/2017,0.260335417,0.074529428,0.103912389,288.44125,294.3438
74,21/06/2017,0.226542119,0.052017881,0.082865855,288.44125,294.3438
75,27/06/2017,0.242327851,0.073965113,0.098634743,288.44125,294.3438
76,03/07/2017,0.195222232,0.056106386,0.077883726,288.44125,294.3438
77,06/07/2017,0.224934164,0.063734902,0.090140851,288.44125,294.3438
78,09/07/2017,0.234257714,0.061272918,0.090346966,288.44125,294.3438
79,15/07/2017,0.222392656,0.054100736,0.082772164,288.44125,294.3438
80,18/07/2017,0.245056919,0.059141536,0.093640465,288.44125,294.3438
81,21/07/2017,0.200386526,0.061884673,0.081471544,288.44125,294.3438
82,27/07/2017,0.19561354,0.051196926,0.07474794,288.44125,294.3438
83,04/08/2017,0.236522184,0.059004487,0.091094838,288.44125,294.3438
