,time,discharge,u_error,l_error
0,2018-04-05,0.13607927267046713,inf,inf
1,2020-02-14,0.1147453854510491,inf,inf
2,2021-05-07,0.1356040418522487,inf,inf
3,2021-07-03,0.17306643955839368,inf,inf
4,2017-08-04,0.18197436577453915,inf,inf
5,2021-02-18,0.13388332482423992,inf,inf
6,2018-04-08,0.12396313132525301,inf,inf
7,2017-10-21,0.08387271317033543,inf,inf
8,2017-08-14,0.10842056521390366,inf,
9,2018-02-18,0.10775675176747007,inf,inf
10,2018-07-01,0.16912904375532856,inf,inf
11,2018-06-04,0.24735376943146115,inf,inf
12,2022-07-31,0.08672295718053921,inf,
13,2020-02-18,0.0987573179869224,inf,inf
14,2020-08-12,0.1445367028335558,inf,inf
15,2019-12-14,0.11233661001183622,inf,
16,2022-02-01,0.13661729218045413,inf,
17,2018-08-12,0.1896253573525857,inf,inf
18,2019-10-30,0.10450104982498462,inf,inf
19,2018-12-28,0.10550615072813699,inf,
20,2018-03-14,0.12565718872948145,inf,inf
21,2020-04-24,0.12946498257816136,inf,
22,2017-03-17,0.12426875674894382,inf,
23,2018-01-10,0.12486552220389988,inf,inf
24,2017-05-10,0.14982888365236985,inf,inf
25,2018-01-22,0.10590099898653237,inf,
26,2016-03-09,0.12093180880143024,inf,inf
27,2019-06-02,0.19164329697313476,inf,inf
28,2018-05-08,0.1399422928076225,inf,
29,2017-11-20,0.10710089457720519,inf,inf
30,2018-06-18,0.17712583564078466,inf,inf
31,2018-05-11,0.13450266072276232,inf,inf
32,2016-01-16,0.11125709158545251,inf,inf
33,2017-08-23,0.15833913526745888,inf,inf
34,2016-12-20,0.09751839376638544,inf,inf
35,2020-11-04,0.08726210870263278,inf,
36,2020-01-07,0.10277402173651445,inf,inf
37,2018-03-27,0.11358014306711506,inf,inf
38,2021-02-09,0.09405585960152073,inf,
39,2020-03-13,0.13423345749839696,inf,inf
40,2020-07-31,0.15792293912220426,inf,inf
41,2018-02-28,0.11929713477662617,inf,
42,2017-10-15,0.09205204818327814,inf,inf
43,2021-10-30,0.09520335529635704,inf,
44,2018-06-10,0.2795405157144338,inf,inf
45,2018-08-06,0.21730660602202292,inf,inf
46,2019-09-11,0.1110446880155143,inf,inf
47,2019-09-09,0.11150003704047737,inf,inf
48,2019-12-28,0.11265713694478595,inf,inf
49,2018-04-02,0.09977583410594192,inf,
50,2020-03-31,0.11119861735816382,inf,
51,2016-01-21,0.11677400413276463,inf,inf
52,2020-09-09,0.08021096178720033,inf,inf
53,2017-09-21,0.13895331784765508,inf,inf
54,2016-08-10,0.14467778063410636,inf,inf
55,2018-01-31,0.1404853879150727,inf,inf
56,2018-03-04,0.11555114207364621,inf,inf
57,2019-12-04,0.11924391485140265,inf,inf
58,2018-06-25,0.1934123167095674,inf,inf
59,2016-12-13,0.0816168632494514,inf,
60,2017-12-15,0.11316259828772508,inf,inf
61,2016-12-25,0.11115178456087559,inf,inf
62,2016-08-27,0.15598913356519817,inf,inf
63,2018-06-12,0.22788361435221174,inf,inf
64,2016-09-15,0.09546818843060449,inf,
65,2017-09-15,0.1246456397528047,inf,inf
66,2016-08-31,0.10680946438468773,inf,inf
67,2021-01-16,0.09164049318699186,inf,inf
68,2019-12-11,0.10124059139211512,inf,
69,2022-01-13,0.07886578644105716,inf,
70,2018-08-24,0.14448193066001508,inf,inf
71,2021-08-07,0.19037139588592905,inf,inf
72,2018-12-07,0.11965885340597299,inf,inf
73,2019-11-05,0.09744572957367323,inf,inf
74,2019-01-09,0.10455101729300545,inf,
75,2019-01-11,0.11741852273980545,inf,inf
76,2016-01-09,0.11331888861892,inf,
77,2019-01-21,0.10351881122370304,inf,inf
78,2021-01-13,0.1116844012323069,inf,inf
79,2020-02-24,0.11071699575053556,inf,inf
80,2018-11-16,0.1025956936101728,inf,inf
81,2017-07-18,0.20062634821439088,inf,inf
82,2016-09-03,0.10163202836303711,inf,inf
83,2021-11-23,0.0865713839518847,inf,
84,2019-02-23,0.13170038771618356,inf,inf
85,2016-08-07,0.10407577783145217,inf,inf
86,2021-01-07,0.11985386339688395,inf,inf
87,2018-06-22,0.17339127134560056,inf,inf
88,2018-08-30,0.11348796350071856,inf,inf
89,2021-07-30,0.13036915891225678,inf,
90,2020-07-19,0.2202272481663142,inf,inf
91,2021-11-09,0.09786943549821168,inf,
92,2018-02-10,0.12177604902167632,inf,
93,2018-08-18,0.1313357192123528,inf,inf
94,2021-06-21,0.2568002974317894,inf,inf
95,2017-10-27,0.12079530473377154,inf,inf
96,2021-11-06,0.12381622954582544,inf,inf
97,2019-07-01,0.19253338388510485,inf,inf
98,2017-11-06,0.14435789045143854,inf,inf
99,2020-12-02,0.13934501039100117,inf,inf
100,2016-05-23,0.16954259523078935,inf,inf
101,2016-07-05,0.1953953341940287,inf,inf
102,2018-06-13,0.19073678801161742,inf,inf
103,2019-08-07,0.14006866537170617,inf,inf
104,2019-07-02,0.1911126736503066,inf,inf
105,2016-12-29,0.1296956939534974,inf,inf
106,2016-02-24,0.11671572199489737,inf,inf
107,2017-04-12,0.10711904346130816,inf,inf
108,2017-02-18,0.08453155850426895,inf,inf
109,2018-06-24,0.20397836987533602,inf,inf
110,2021-08-31,0.12295949645207012,inf,inf
111,2018-06-06,0.21519969760763974,inf,inf
112,2017-10-25,0.12535654998406062,inf,
113,2019-05-21,0.20108278517896638,inf,inf
114,2022-11-28,0.1186822787909986,inf,
115,2019-01-17,0.12424977483448973,inf,inf
116,2022-06-01,0.17274911156566203,inf,inf
117,2018-06-01,0.19876468700906802,inf,inf
118,2017-06-21,0.14287021891024518,inf,inf
119,2019-08-16,0.09155932902406376,inf,
120,2018-10-14,0.1123612223377278,inf,inf
121,2017-12-18,0.11565544417152085,inf,inf
122,2017-01-01,0.0932245851331053,inf,inf
123,2016-04-17,0.161303212615765,inf,
124,2018-12-27,0.10277502582382346,inf,
125,2020-08-19,0.17016429895929294,inf,inf
126,2019-07-25,0.1798276262850967,inf,inf
127,2018-08-23,0.14651146329916442,inf,inf
128,2017-07-03,0.12634990338470758,inf,
129,2018-03-06,0.1301236052042471,inf,inf
130,2017-11-26,0.11514185560956429,inf,
131,2022-01-25,0.11939313206807338,inf,
132,2020-06-23,0.19771097438232713,inf,
133,2022-02-23,0.10535604042950465,inf,inf
134,2019-03-25,0.12402982131327311,inf,inf
135,2017-10-03,0.0869371347713858,inf,inf
136,2018-02-13,0.13027620549329996,inf,inf
137,2022-09-05,0.19380896933362618,inf,inf
138,2021-07-09,0.23288335486534334,inf,inf
139,2018-05-31,0.17438928806516732,inf,inf
140,2019-08-13,0.15461666505959817,inf,inf
141,2022-04-02,0.14289829305180984,inf,inf
142,2017-09-04,0.20089423228864053,inf,inf
143,2019-08-22,0.11431074807605988,inf,inf
144,2020-01-19,0.11432682937609288,inf,inf
145,2021-04-13,0.1368397791759439,inf,inf
146,2018-11-28,0.08996448830577172,inf,inf
147,2018-12-04,0.09312057721485409,inf,inf
148,2016-07-10,0.1592276521232307,inf,inf
149,2020-02-12,0.10375707932928302,inf,
150,2021-08-14,0.2549758491308115,inf,inf
151,2020-09-05,0.09793177768126284,inf,
152,2017-09-25,0.1040208386373383,inf,
153,2019-10-29,0.07849720449478784,inf,inf
154,2018-08-29,0.10783997627864461,inf,inf
155,2018-02-25,0.1470527358696406,inf,inf
156,2018-01-26,0.13802570178628842,inf,inf
157,2020-11-26,0.08175136015334099,inf,
158,2021-04-07,0.11756203977713157,inf,
159,2018-03-08,0.11320051755333824,inf,inf
160,2018-02-19,0.102601170009448,inf,
161,2018-03-16,0.13135632709125725,inf,
162,2021-09-28,0.08350347695918506,inf,inf
163,2019-05-14,0.18802390741330516,inf,inf
164,2022-09-29,0.10834587534219167,inf,
165,2018-03-03,0.14401733983154172,inf,inf
166,2017-01-22,0.08958238121216563,inf,inf
167,2020-02-06,0.09860658030532668,inf,inf
168,2021-04-01,0.1140450804542341,inf,inf
169,2016-10-12,0.1258326780773088,inf,inf
170,2019-03-13,0.13732222116751946,inf,inf
171,2023-02-28,0.09651227101491947,inf,
172,2023-04-21,0.11439350933143615,inf,
173,2020-08-13,0.17992153863066046,inf,inf
174,2022-09-17,0.10384885126316505,inf,inf
175,2016-11-14,0.1151716424039337,inf,inf
176,2017-09-09,0.12034126503236907,inf,inf
177,2022-08-15,0.17904369294865524,inf,inf
178,2021-10-10,0.10631244513986902,inf,inf
179,2021-10-16,0.11377806106463818,inf,inf
180,2020-05-18,0.2053826386876621,inf,inf
181,2023-02-20,0.10747192170357771,inf,
182,2020-03-25,0.10581721191931272,inf,inf
183,2018-05-17,0.11829374752146683,inf,
184,2019-06-05,0.16086630950059766,inf,inf
185,2018-12-16,0.10103972665538584,inf,inf
186,2022-04-14,0.11117239075518648,inf,inf
187,2020-05-30,0.14405590921635786,inf,inf
188,2019-02-17,0.13189917165649284,inf,inf
189,2019-07-20,0.20026622869005592,inf,inf
190,2018-11-13,0.12367657505270854,inf,inf
191,2020-03-19,0.10439531336746331,inf,
192,2017-08-26,0.15419692524375364,inf,
193,2019-01-05,0.12095473060183638,inf,inf
194,2017-06-30,0.16315066350452598,inf,inf
195,2019-07-11,0.10610649202598835,inf,inf
196,2020-07-14,0.1920841362719704,inf,inf
197,2020-09-03,0.13031296231094666,inf,
198,2021-01-08,0.09843327169216531,inf,
199,2019-08-19,0.13043436028332706,inf,inf
200,2021-03-02,0.11090881087310561,inf,inf
201,2018-12-13,0.12352981332092987,inf,inf
202,2020-07-05,0.1161029657648557,inf,
203,2017-05-24,0.19687722068009592,inf,inf
204,2019-05-20,0.2163988219728089,inf,inf
205,2019-08-18,0.11361732314468115,inf,inf
206,2018-05-01,0.08460335725847065,inf,
207,2021-04-19,0.13511524072149236,inf,
208,2017-11-08,0.09950285878585703,inf,
209,2018-05-05,0.12443293659761143,inf,inf
210,2017-03-19,0.12238672495051928,inf,inf
211,2016-11-17,0.10833756176626934,inf,inf
212,2021-02-24,0.11055099615000706,inf,inf
213,2020-08-16,0.12194032780079123,inf,inf
214,2018-02-24,0.12721222995961387,inf,inf
215,2020-04-06,0.13490123089918798,inf,
216,2019-06-23,0.11736291190000914,inf,inf
217,2018-04-07,0.10269618153837234,inf,
218,2021-08-19,0.23161508076058807,inf,inf
219,2020-07-11,0.1149434245874433,inf,inf
220,2016-08-19,0.11505708832643004,inf,inf
221,2017-11-02,0.14240608955654374,inf,inf
222,2018-10-11,0.11137922666809366,inf,inf
223,2018-07-16,0.10702166937466974,inf,
224,2019-06-07,0.23912909083075384,inf,inf
225,2022-03-09,0.1117838162625869,inf,inf
226,2019-10-06,0.11278028824412867,inf,
227,2023-01-15,0.10831790508751837,inf,inf
228,2020-10-15,0.14546721741136853,inf,inf
229,2018-11-25,0.0986675060490368,inf,
230,2019-04-18,0.13665676237767294,inf,
231,2017-03-14,0.11389860999040961,inf,inf
232,2023-02-23,0.09382219088352467,inf,
233,2019-06-08,0.2194983904663856,inf,inf
234,2020-12-05,0.09204162191869272,inf,inf
235,2017-08-11,0.14944698885010005,inf,inf
236,2016-11-29,0.09188346936402968,inf,inf
237,2019-08-06,0.15126303048904619,inf,inf
238,2016-06-08,0.2732295563114379,inf,inf
239,2021-06-24,0.15135930369166375,inf,inf
240,2018-10-17,0.09778107013526526,inf,
241,2018-01-05,0.12128422175561575,inf,inf
242,2017-03-26,0.08121281501464894,inf,
243,2018-03-09,0.09570370784396894,inf,
244,2020-12-24,0.10008685430896376,inf,
245,2023-03-16,0.12386691169455957,inf,inf
246,2017-10-28,0.13038694149274394,inf,inf
247,2020-12-20,0.12964954479933252,inf,inf
248,2020-10-09,0.09630659448631168,inf,inf
249,2022-08-24,0.13517329134769382,inf,inf
250,2017-07-27,0.09717024972938691,inf,
251,2017-08-20,0.12231064167074206,inf,inf
252,2017-06-27,0.14701088389740274,inf,inf
253,2016-09-12,0.08776629547954655,inf,inf
254,2018-12-31,0.1239797591119089,inf,inf
255,2017-01-16,0.10055677341503358,inf,inf
256,2018-12-25,0.12022092715763029,inf,inf
257,2019-07-29,0.10623807011985699,inf,inf
258,2016-05-15,0.23435370744759784,inf,inf
259,2017-11-14,0.12946232829255094,inf,
260,2018-02-12,0.096794281700598,inf,
261,2018-08-15,0.10178260068048761,inf,inf
262,2017-05-13,0.18294388655371163,inf,inf
263,2021-08-05,0.0967930875116568,inf,
264,2019-03-01,0.09852463823101783,inf,inf
265,2021-02-15,0.13451126081439244,inf,inf
266,2019-10-18,0.10501757513144862,inf,inf
267,2021-02-02,0.10516637486730601,inf,inf
268,2017-09-27,0.10678617495181032,inf,inf
269,2021-01-03,0.10066788793541313,inf,
270,2017-11-12,0.10964326470208619,inf,inf
271,2020-11-16,0.09446528461489594,inf,
272,2018-01-07,0.10122423982202446,inf,
273,2018-05-23,0.07188168268753982,inf,
274,2021-08-11,0.1184395467230597,inf,inf
275,2023-03-19,0.1299650847645639,inf,inf
276,2021-07-02,0.20091216618331167,inf,inf
277,2021-02-06,0.10871270007348192,inf,inf
278,2019-08-30,0.1554951545888239,inf,inf
279,2017-05-25,0.12630939219324183,inf,
280,2019-01-02,0.09794932956001404,inf,inf
281,2023-02-08,0.11802672344762197,inf,inf
282,2019-08-28,0.09639551758909265,inf,
283,2022-07-10,0.21894551016169378,inf,inf
284,2017-02-03,0.10736551405899815,inf,inf
285,2020-07-26,0.1741106646395381,inf,inf
286,2017-09-07,0.09706057115569022,inf,inf
287,2018-07-07,0.20342568799438923,inf,inf
288,2017-01-04,0.10876407560292521,inf,inf
289,2021-08-23,0.11016098669097019,inf,inf
290,2017-12-03,0.11584002499881878,inf,inf
291,2017-11-09,0.09849632348531502,inf,
292,2020-12-08,0.14094124395394,inf,inf
293,2019-12-29,0.11481116624076436,inf,inf
294,2017-05-04,0.10761620227693379,inf,
295,2018-07-19,0.1958885348307779,inf,inf
296,2021-09-22,0.10311265053487764,inf,inf
297,2023-03-07,0.13994683210802503,inf,inf
298,2017-03-31,0.0980101908907648,inf,
299,2017-10-09,0.07889853491398689,inf,inf
300,2018-03-02,0.12699139972232953,inf,inf
301,2017-03-07,0.11372303276712388,inf,inf
302,2018-01-13,0.10691965339906796,inf,
303,2023-01-27,0.12921813777703056,inf,inf
304,2019-10-27,0.10656905462258214,inf,inf
305,2021-02-04,0.12406981427992313,inf,inf
306,2018-09-08,0.10740616914648993,inf,inf
307,2019-12-08,0.11838516832177637,inf,
308,2021-11-03,0.09982679242037003,inf,inf
309,2017-12-21,0.12208190215624533,inf,inf
310,2021-07-06,0.15896500311094336,inf,inf
311,2020-06-25,0.27609082604026464,inf,inf
312,2019-06-11,0.14309469522919877,inf,
313,2018-01-16,0.11412722613146943,inf,inf
314,2022-10-11,0.08776968697561176,inf,
315,2018-02-07,0.11522971500535689,inf,inf
316,2017-04-16,0.1142251902169836,inf,inf
317,2017-07-21,0.10822912541562338,inf,
318,2019-06-29,0.12440554942638715,inf,inf
319,2017-11-24,0.14178462335778283,inf,
320,2019-10-15,0.09856658385585122,inf,
321,2020-06-26,0.2857640200975333,inf,inf
322,2020-12-22,0.115919859617229,inf,
323,2018-03-12,0.10698637961734456,inf,
324,2018-01-20,0.11862772262465777,inf,inf
325,2021-07-27,0.23259904359633155,inf,inf
326,2020-08-31,0.14792760030539703,inf,inf
327,2017-10-16,0.1049798958362446,inf,inf
328,2021-08-02,0.19219107630591484,inf,inf
329,2019-01-08,0.12194681289202439,inf,inf
330,2023-02-18,0.08584347713185116,inf,
331,2017-04-07,0.09325698906914352,inf,
332,2016-12-05,0.09953567324281508,inf,
333,2020-08-22,0.1236030909479024,inf,inf
334,2019-10-17,0.0755742509563865,inf,
335,2020-02-08,0.11149820806199214,inf,
336,2019-09-23,0.10698847438076906,inf,
337,2020-02-09,0.08689378324224575,inf,
338,2019-11-08,0.09348131470390904,inf,
339,2019-01-12,0.11640631268623104,inf,inf
340,2017-08-28,0.1898978790249019,inf,inf
341,2018-07-04,0.12823372727034268,inf,
342,2016-06-01,0.1425625061953326,inf,inf
343,2021-03-26,0.1101514982946957,inf,
344,2021-08-29,0.10564266968686284,inf,
345,2016-02-14,0.12154459137289139,inf,inf
346,2018-02-20,0.10395945025282685,inf,inf
347,2018-01-11,0.12007456186799569,inf,inf
348,2021-06-20,0.20938147566517135,inf,inf
349,2019-05-12,0.19455557460456982,inf,inf
350,2020-12-10,0.10849036838698246,inf,inf
351,2016-04-09,0.15677797308266297,inf,
352,2017-08-08,0.11746137749230538,inf,inf
353,2018-03-24,0.11625350021561857,inf,inf
354,2021-10-04,0.09287560104443121,inf,
355,2021-11-11,0.08987544918601921,inf,
356,2019-06-17,0.11549909657104346,inf,
357,2021-07-12,0.16264453170760618,inf,
358,2021-01-31,0.14536859059212356,inf,inf
359,2018-07-25,0.160656782723137,inf,inf
360,2020-12-13,0.09721225185922983,inf,inf
361,2018-12-19,0.123612729345,inf,
362,2016-08-03,0.148695059626851,inf,inf
363,2023-04-12,0.09029764041237646,inf,inf
364,2018-12-22,0.09812649671405084,inf,inf
365,2017-06-24,0.20898364297861127,inf,inf
366,2017-04-28,0.10771140154490336,inf,
367,2019-12-26,0.10305294098910434,inf,inf
368,2019-06-26,0.16785082952807828,inf,inf
369,2020-12-17,0.1062163740899046,inf,inf
370,2022-07-07,0.15923734992477998,inf,inf
371,2019-01-30,0.11024074100230524,inf,inf
372,2018-07-22,0.14133763124381601,inf,inf
373,2019-08-04,0.09760066978399953,inf,inf
374,2019-07-23,0.10536960422564713,inf,inf
375,2017-03-05,0.10951697544679538,inf,
376,2017-03-29,0.10468944097625645,inf,inf
377,2021-11-18,0.1098084681734994,inf,inf
378,2020-06-29,0.16524539992720824,inf,inf
379,2017-07-09,0.14841754354036,inf,inf
380,2018-11-01,0.13642006712418023,inf,inf
381,2019-09-21,0.05751738572363063,inf,
382,2022-09-08,0.24605322729258738,inf,inf
383,2019-11-26,0.12256603216875209,inf,inf
384,2023-03-28,0.12518201507543858,inf,inf
385,2018-08-05,0.2299473261361613,inf,inf
386,2017-08-16,0.134524634035963,inf,inf
387,2020-10-03,0.1239310845351106,inf,inf
388,2019-07-05,0.11338861322693246,inf,
389,2021-05-01,0.1546711872720895,inf,inf
390,2016-04-14,0.16727829731793556,inf,inf
391,2020-09-15,0.06574879501202054,inf,
392,2017-12-09,0.1427104644915966,inf,inf
393,2022-02-21,0.11591728741677583,inf,inf
394,2017-01-10,0.10442981904087639,inf,
395,2020-07-23,0.09120658232818678,inf,inf
396,2022-03-21,0.12321253940656346,inf,inf
397,2022-03-12,0.10825445915425723,inf,
398,2016-10-21,0.08203615085308753,inf,
399,2018-08-17,0.11208493294020268,inf,inf
