,time,discharge,u_error,l_error,width_averaged_thickness,width_averaged_thickness_bedmachine
0,09/01/2016,0.09541983,0.032898697,0.041208478,202.34174,195.98055
1,16/01/2016,0.092251115,0.029417376,0.038438315,202.34174,195.98055
2,21/01/2016,0.111630166,0.044090422,0.051056619,202.34174,195.98055
3,02/02/2016,0.089526525,0.030186975,0.038211784,202.34174,195.98055
4,14/02/2016,0.095309421,0.031789888,0.040403714,202.34174,195.98055
5,24/02/2016,0.105745924,0.040086769,0.047460431,202.34174,195.98055
6,26/02/2016,0.114437749,0.045896694,0.052773795,202.34174,195.98055
7,04/03/2016,0.08921123,0.025238287,0.03540379,202.34174,195.98055
8,09/03/2016,0.104846826,0.043706651,0.049355284,202.34174,195.98055
9,16/03/2016,0.090508875,0.027584913,0.037084444,202.34174,195.98055
10,21/03/2016,0.09968553,0.041086297,0.046780673,202.34174,195.98055
11,28/03/2016,0.103734061,0.030175265,0.041586323,202.34174,195.98055
12,02/04/2016,0.11431907,0.047500007,0.053606384,202.34174,195.98055
13,05/04/2016,0.13463149,0.108628577,0.091480558,202.34174,195.98055
14,09/04/2016,0.136811888,0.074758889,0.07379408,202.34174,195.98055
15,14/04/2016,0.15258408,0.070214494,0.07527379,202.34174,195.98055
16,17/04/2016,0.144297781,0.087450081,0.082534868,202.34174,195.98055
17,21/04/2016,0.130258814,0.049998895,0.058753897,202.34174,195.98055
18,29/04/2016,0.132637364,0.074272091,0.072384289,202.34174,195.98055
19,03/05/2016,0.156599869,0.050299753,0.065523678,202.34174,195.98055
20,06/05/2016,0.152874784,0.046337886,0.062203849,202.34174,195.98055
21,11/05/2016,0.186838334,0.057458324,0.076481367,202.34174,195.98055
22,15/05/2016,0.210350424,0.050579609,0.07848916,202.34174,195.98055
23,20/05/2016,0.167327882,0.051433287,0.068620711,202.34174,195.98055
24,23/05/2016,0.146734486,0.039424292,0.057184938,202.34174,195.98055
25,27/05/2016,0.072581785,0.030363133,0.034248273,202.34174,195.98055
26,01/06/2016,0.136199174,0.041005104,0.055222913,202.34174,195.98055
27,08/06/2016,0.259175939,0.057942664,0.094380788,202.34174,195.98055
28,05/07/2016,0.163577928,0.042382495,0.063194166,202.34174,195.98055
29,10/07/2016,0.153827514,0.040717128,0.059668206,202.34174,195.98055
30,17/07/2016,0.184012467,0.043385718,0.068865136,202.34174,195.98055
31,22/07/2016,0.192599165,0.041712975,0.070119215,202.34174,195.98055
32,26/07/2016,0.087323374,0.020942873,0.032423616,202.34174,195.98055
33,29/07/2016,0.131753242,0.029935552,0.048597661,202.34174,195.98055
34,03/08/2016,0.121859169,0.029541446,0.045829864,202.34174,195.98055
35,07/08/2016,0.090255677,0.026458549,0.036422325,202.34174,195.98055
36,10/08/2016,0.123940861,0.029616837,0.046462581,202.34174,195.98055
37,19/08/2016,0.090266836,0.02701542,0.036894368,202.34174,195.98055
