,time,discharge,u_error,l_error
0,09/01/2016,0.196732712,0.071362732,0.087766301
1,16/01/2016,0.163594278,0.055433564,0.070880052
2,21/01/2016,0.301786798,0.108459963,0.13423908
3,02/02/2016,0.173861543,0.063329,0.077574439
4,09/02/2016,0.261722509,0.084720317,0.110947556
5,14/02/2016,0.214171515,0.077863253,0.095561782
6,21/02/2016,0.177301336,0.066211938,0.079923889
7,24/02/2016,0.229860318,0.083435601,0.102417783
8,26/02/2016,0.214327968,0.092693281,0.103649668
9,04/03/2016,0.195208076,0.061524474,0.082152046
10,09/03/2016,0.244201959,0.101438658,0.115369208
11,16/03/2016,0.206670507,0.073895607,0.091619305
12,21/03/2016,0.275804184,0.107328215,0.126919023
13,28/03/2016,0.201249623,0.064971769,0.085459061
14,02/04/2016,0.195557193,0.082321021,0.093161396
15,05/04/2016,0.263187512,0.198200695,0.172512459
16,09/04/2016,0.286012098,0.168057796,0.161885757
17,12/04/2016,0.34795079,0.165023166,0.175722301
18,14/04/2016,0.388929504,0.164158536,0.185473483
19,17/04/2016,0.378939452,0.194341757,0.199419507
20,21/04/2016,0.435235163,0.145415777,0.18730963
21,29/04/2016,0.367128619,0.179587161,0.188310837
22,03/05/2016,0.373000588,0.112393943,0.15376266
23,06/05/2016,0.406063957,0.130486198,0.172007925
24,11/05/2016,0.562953432,0.156304166,0.224828155
25,15/05/2016,0.477246081,0.136102743,0.192646119
26,18/05/2016,0.547434763,0.156726087,0.220782762
27,20/05/2016,0.320704148,0.102780443,0.13558676
28,23/05/2016,0.317399023,0.094299516,0.130073251
29,27/05/2016,0.242178527,0.083339007,0.105399873
30,01/06/2016,0.345988181,0.109748547,0.145248336
31,04/06/2016,0.485092831,0.133796649,0.193606011
32,08/06/2016,0.690348016,0.169903937,0.263956529
33,05/07/2016,0.310715721,0.085757334,0.123910053
34,10/07/2016,0.310572879,0.085003709,0.123679264
35,17/07/2016,0.368023245,0.088463053,0.139815172
36,22/07/2016,0.390707942,0.089878492,0.146066779
37,26/07/2016,0.172206192,0.058862804,0.074758779
38,29/07/2016,0.286482863,0.069469356,0.109030775
39,03/08/2016,0.303816424,0.074420292,0.11606065
40,07/08/2016,0.217664991,0.06480354,0.089383563
41,10/08/2016,0.272128267,0.066950547,0.104072329
42,15/08/2016,0.321866061,0.080854186,0.124050451
43,19/08/2016,0.203332305,0.059816444,0.08332178
44,27/08/2016,0.301588869,0.086450036,0.121917356
45,31/08/2016,0.215586409,0.094992073,0.105135247
46,03/09/2016,0.221866977,0.074063317,0.095426772
47,08/09/2016,0.204684605,0.06623091,0.086999315
48,12/09/2016,0.167094593,0.064528113,0.076375697
49,15/09/2016,0.213041451,0.080644821,0.096901564
50,24/09/2016,0.15461671,0.085869492,0.085021509
51,27/09/2016,0.216363845,0.086228078,0.100809701
52,12/10/2016,0.161157063,0.072187137,0.079319179
53,14/10/2016,0.174574921,0.09503836,0.094910615
54,21/10/2016,0.177925483,0.085312048,0.090552487
55,26/10/2016,0.190413356,0.09550211,0.098939031
56,30/10/2016,0.227863993,0.167822151,0.147704219
57,02/11/2016,0.161729487,0.13948211,0.115687884
58,11/11/2016,0.174754273,0.119464543,0.108219404
59,14/11/2016,0.205624736,0.094222992,0.102156976
60,17/11/2016,0.194117804,0.077732473,0.090463333
61,23/11/2016,0.182916325,0.080802219,0.089314281
62,26/11/2016,0.196735424,0.103933187,0.105150299
63,29/11/2016,0.207845486,0.086132473,0.098542446
64,05/12/2016,0.22749722,0.106280783,0.114353731
65,08/12/2016,0.187885041,0.098245182,0.099903083
66,13/12/2016,0.191122058,0.089960059,0.096319882
67,20/12/2016,0.197216583,0.073475905,0.088982117
68,23/12/2016,0.19315096,0.069310331,0.085619619
69,25/12/2016,0.225370699,0.084056283,0.101824833
70,29/12/2016,0.173817108,0.071283334,0.081919293
71,01/01/2017,0.203633281,0.100326158,0.104977426
72,04/01/2017,0.170484483,0.07270199,0.081765676
73,06/01/2017,0.19866258,0.09451282,0.100597464
74,10/01/2017,0.220277903,0.083058044,0.100061569
75,13/01/2017,0.202172803,0.087002508,0.097408508
76,16/01/2017,0.242398579,0.097165081,0.112791727
77,22/01/2017,0.190594009,0.093949005,0.098314976
78,28/01/2017,0.197979801,0.101905105,0.104498427
79,03/02/2017,0.233554946,0.091958965,0.108005352
80,06/02/2017,0.203103851,0.065518444,0.08608436
81,09/02/2017,0.216739036,0.10248399,0.109497504
82,12/02/2017,0.220667828,0.066366103,0.090940774
83,15/02/2017,0.193779996,0.095805781,0.100079904
84,18/02/2017,0.222314307,0.072585135,0.094873118
85,05/03/2017,0.205881181,0.076526525,0.092762659
86,07/03/2017,0.247120943,0.080808222,0.105591534
87,11/03/2017,0.248832938,0.082675341,0.10706332
88,14/03/2017,0.208299451,0.081456483,0.096010856
89,17/03/2017,0.18484782,0.108689455,0.104537214
90,19/03/2017,0.219533058,0.114498477,0.11654068
91,26/03/2017,0.199124084,0.0996023,0.103429159
92,29/03/2017,0.204706666,0.094681253,0.102229839
93,31/03/2017,0.254096305,0.09244552,0.113477612
94,07/04/2017,0.233966649,0.089941418,0.107033643
95,10/04/2017,0.220245456,0.094827479,0.10623249
96,12/04/2017,0.207942127,0.086925593,0.098871821
97,16/04/2017,0.217621158,0.085784137,0.100958604
98,19/04/2017,0.226720355,0.170143809,0.148199703
99,22/04/2017,0.254684492,0.155982168,0.147969507
100,24/04/2017,0.189146805,0.117839472,0.110760886
101,28/04/2017,0.231378262,0.14714453,0.136878831
102,01/05/2017,0.256970642,0.165739978,0.153505956
103,04/05/2017,0.279207637,0.215639635,0.185393606
104,06/05/2017,0.323518012,0.234353454,0.206762916
105,10/05/2017,0.3725338,0.161466883,0.179904465
106,13/05/2017,0.477675559,0.183881867,0.218725449
107,16/05/2017,0.465294832,0.129114472,0.186140502
108,18/05/2017,0.506915165,0.152344609,0.208664375
109,22/05/2017,0.49600301,0.133469577,0.195747459
110,24/05/2017,0.483999659,0.150919219,0.202072893
111,25/05/2017,0.490085315,0.145359442,0.200501392
112,28/05/2017,0.358509406,0.114692436,0.151259275
113,31/05/2017,0.403402569,0.120901882,0.166056254
114,03/06/2017,0.358070211,0.108216501,0.147748217
115,06/06/2017,0.389833461,0.115230095,0.15981079
116,09/06/2017,0.347048632,0.102108597,0.14176871
117,12/06/2017,0.368809846,0.114492696,0.154083998
118,15/06/2017,0.248416103,0.078199528,0.10415984
119,21/06/2017,0.339599751,0.086725861,0.131512484
120,24/06/2017,0.44181676,0.113775716,0.172073581
121,27/06/2017,0.398218162,0.126210601,0.16780706
122,30/06/2017,0.35685607,0.093576155,0.139774948
123,03/07/2017,0.271345684,0.08000045,0.110798593
124,06/07/2017,0.36248808,0.091172152,0.139913988
125,09/07/2017,0.322405537,0.086826226,0.127451392
126,12/07/2017,0.391773461,0.095679634,0.149749667
127,15/07/2017,0.299720134,0.086943348,0.121969937
128,18/07/2017,0.366463862,0.084522311,0.137421677
129,21/07/2017,0.235086546,0.08804948,0.106193778
130,27/07/2017,0.244522414,0.079220856,0.104001855
131,04/08/2017,0.343308442,0.080398966,0.129247518
132,08/08/2017,0.207813669,0.060414064,0.084644066
133,10/08/2017,0.325806664,0.080507418,0.124910395
134,11/08/2017,0.314101995,0.074359258,0.118654154
135,14/08/2017,0.178091451,0.07760261,0.086303328
136,16/08/2017,0.320920134,0.09628242,0.132071419
137,17/08/2017,0.297111883,0.085070181,0.120158258
138,20/08/2017,0.207765421,0.071345338,0.090599691
139,22/08/2017,0.262584813,0.069549108,0.103010562
140,23/08/2017,0.290484893,0.07937602,0.115428946
141,26/08/2017,0.388676516,0.099020113,0.150165451
142,28/08/2017,0.457495011,0.11006803,0.173669633
143,29/08/2017,0.46472441,0.108204401,0.174309941
144,01/09/2017,0.392667094,0.098422923,0.151131548
145,03/09/2017,0.444326062,0.10815978,0.169368689
146,04/09/2017,0.452081817,0.113446711,0.174069531
147,07/09/2017,0.182841551,0.073694491,0.085569131
148,09/09/2017,0.188997301,0.05777973,0.078469345
149,13/09/2017,0.300776231,0.095658845,0.12692388
150,15/09/2017,0.317258198,0.092464058,0.129140549
151,16/09/2017,0.318251031,0.097694041,0.132158821
