day,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,,242500,,113750,109375,,5000,85625,378125,157500,428750,155625,116875,164375,163750,291250,80000,283125,460000,373125,515000,283750,224375,223125,227500,368750,395625,213125,323125,148750,486250,395625,719375,590625,250625,86875,121250,351250,516875,835625,198125,341250,138125
2,131250,118125,,95625,,,61875,,85625,210625,153750,388125,286250,85000,150625,138125,307500,66875,219375,398750,300625,393750,301875,171250,185625,155000,337500,492500,141250,346875,126875,435000,412500,678750,423750,256875,116875,176875,239375,408125,676250,220000,398750,155625
3,,,103125,,92500,31250,,151250,113750,140625,90000,319375,207500,61875,200000,83125,195625,50000,191875,289375,493750,156875,378750,171250,96250,105625,300625,418750,97500,368750,130625,358125,377500,704375,335625,279375,165000,176875,205625,281875,551875,193125,450000,195625
4,59375,63125,,,,,44375,,132500,195625,61875,328125,274375,37500,208125,51250,348750,32500,159375,280000,521250,65625,438125,130625,54375,108125,241875,384375,134375,396250,87500,355000,333125,765000,273125,169375,173125,172500,174375,200000,365625,148750,366875,218750
5,,,81250,,28125,54375,,133125,119375,67500,68750,473750,102500,66875,114375,166250,309375,89375,55625,211875,465625,60000,505000,121250,223750,134375,203750,362500,138125,351250,56875,276250,233125,849375,220625,121875,168750,180625,173125,219375,282500,109375,223125,201250
6,50625,57500,,61250,,,18125,,241875,56875,95625,349375,77500,75000,62500,294375,338750,65000,75625,80625,506875,165000,479375,125000,408750,66250,146250,290000,233125,305000,163125,223750,249375,1023750,218125,127500,215625,170625,167500,122500,239375,169375,215625,213750
7,,,35000,,7500,54375,,16875,349375,51250,75000,373125,166875,95000,66875,143125,464375,25000,26250,160625,404375,153125,353125,160000,600000,96250,140000,231875,306250,253750,190625,204375,287500,738750,169375,100000,137500,166250,236250,203750,378750,266250,181250,134375
8,43750,13125,,,,,21875,,420000,96250,53750,261875,72500,142500,80000,92500,156875,66875,21875,121250,436875,202500,325000,158125,526250,116250,138125,227500,227500,257500,176250,275625,255625,524375,81250,93125,74375,200000,250625,457500,315000,196250,101875,82500
9,,,21250,,5000,48125,,16250,366875,100000,50625,129375,108125,238125,68125,76875,439375,85625,71250,95000,241250,208125,253125,113750,288125,123125,126250,212500,145000,255625,121875,296250,328750,293750,71250,135625,170000,305000,178125,499375,265625,133750,63125,103750
10,18125,18125,,24375,,,53125,,166250,173125,54375,230000,132500,128125,56875,62500,258750,47500,69375,44375,91250,177500,295000,96250,161875,170000,170625,144375,143750,136250,121875,437500,363750,146250,141250,311875,121875,329375,180000,348125,190000,140625,133750,107500
11,,,12500,,4375,61875,,6875,104375,145000,42500,83750,64375,188750,76875,28750,297500,45625,566875,90625,80000,110000,284375,74375,127500,459375,152500,160625,205000,96875,86875,345625,303125,150000,250000,225000,80625,304375,166875,241875,131250,82500,299375,85625
12,60000,13125,,12500,,,192500,,65000,134375,50000,98750,78750,104375,6875,147500,273125,35000,733750,153750,110000,74375,236875,81250,156250,724375,210000,261250,341875,113125,119375,294375,145625,93750,213750,135000,45000,248750,113750,300000,153125,244375,140625,49375
13,,,61875,,16250,,,84375,46875,123750,29375,,30000,49375,30625,125625,,17500,604375,48125,126250,36875,188125,65625,206250,289375,68750,233125,353750,111875,75000,200625,78750,65000,216250,216875,30625,152500,115625,258125,107500,120000,176250,39375
14,4375,4375,,1875,,,383125,,93750,91250,13750,61250,33750,75625,160625,108750,135000,17500,409375,51250,119375,48750,151250,35000,236250,224375,83125,325625,268750,143125,179375,210000,50000,182500,144375,175000,37500,63125,187500,240000,77500,68125,871875,95625
15,,,72500,,67500,,,77500,67500,55000,63750,31875,17500,26250,75000,126875,70625,30000,226875,103125,51875,54375,149375,33750,99375,307500,80625,555625,220000,125625,95625,243125,47500,202500,34375,116875,38750,116875,79375,236250,88125,26875,754375,107500
16,44375,18750,,,,,89375,,28125,36875,75625,26250,1250,36875,36250,138125,40000,55000,169375,80625,84375,111875,161250,68125,238125,302500,48125,720625,228750,46250,83750,238125,32500,222500,50000,156250,33125,89375,41875,136250,107500,38125,511875,106875
