time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_geounit,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon
01/01/2022 00:00,968.7506,-12.4908,52.1466,58.8846,0.786,0.7598,177.0667,0.0822,0,0,0,,254.4118,253.6268,0.923,-14.5416,0,0,2.5359,,,,350.3829,,,,,,,,,,0,0,,,,,,,,,,,12.39,,12.48,121.53,,-12.8663,-12.5942,,
01/01/2022 01:00,969.0184,-12.4633,53.4703,60.3651,0.8074,0.5605,118.9517,-0.0821,0,0,0,,251.3477,253.435,0.8896,-14.5679,-0.0804,0.1814,2.5361,,,,350.3796,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,121.17,,-12.9344,-12.6502,,
01/01/2022 02:00,969.0407,-12.721,49.1374,55.6105,0.7273,0.9902,12.1642,-0.7805,0,-0.0367,0,,238.774,251.4423,0.7682,-14.9943,-0.3226,0.7672,2.537,,,,350.3526,,,,,,,,,,0,0,,,,,,,,,,,12.39,,12.49,121.5,,-13.015,-12.8079,,
01/01/2022 03:00,969.1298,-13.5319,49.4952,56.4676,0.685,0.5045,247.6367,-0.8627,0,0.404,0,,226.3004,246.8507,0.6706,-16.1158,0,0,2.5344,,,,350.2525,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,120.83,,-13.8027,-13.9002,,
01/01/2022 04:00,969.2581,-13.9733,47.4562,54.3694,0.6344,0.5945,184.3433,-2.6298,0,0.5878,0,,197.5729,240.9914,0.3858,-17.4666,0,0,2.5339,,,,350.2302,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,121.57,,-14.5453,-14.3455,,
01/01/2022 05:00,969.1546,-14.3858,45.2143,52.0084,0.5843,0.8227,309.6333,-2.7532,0,0.8817,0,,180.8773,235.4954,0.2264,-18.8336,-0.0992,0.8399,2.539,,,,350.2187,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,121.83,,-15.8639,-15.2242,,
01/01/2022 06:00,969.2439,-14.6456,44.1093,50.8711,0.5574,0.66,251.0233,-2.7536,0,1.4697,0,,173.386,232.2586,0.1576,-19.6696,-0.0187,0.236,2.5381,,,,350.1834,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,121.43,,-16.826,-15.766,,
01/01/2022 07:00,969.4457,-15.6549,47.669,55.526,0.5537,0.4983,289.0667,-3.2474,0,0.6982,0,,171.6648,228.7033,0.1787,-20.6539,0,0,2.5383,,,,350.1628,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,122.27,,-17.5136,-16.631,,
01/01/2022 08:00,969.3274,-16.1732,50.1716,58.7313,0.559,0.2625,238.65,-2.2197,0,1.7272,0,,169.8728,226.6975,0.1796,-21.206,0,0,2.5502,,,,350.1855,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,121.17,,-18.7283,-17.8791,,
01/01/2022 09:00,969.6839,-16.0991,48.101,56.2661,0.5389,0.3278,308.1167,-1.9322,0,1.6538,0,,169.0306,226.382,0.1679,-21.2888,0,0,2.5504,,,,350.203,,,,,,,,,,0,0,,,,,,,,,,,12.4,,12.49,121.8,,-19.2449,-17.8971,,
