# Along-track daily velocities, metres per year," at lev 5 (""Site 6"") during 2022.",,
# Approx. rover station coordinates (WGS84): 67.1531,-48.3715, 1439 m.,,
# Collection strategy: Leica GPS1200, mounted on metal pole frozen into ice, collecting data at 10-second resolution.,,
# Post-processing strategy: kinematic post-processing relative to off-ice base station at Russell Glacier using TRACK in GAMIT/GLOBK, processed in 24-hour blocks, with IGS Final/Restituted orbits and IONEX ionsphere maps.,,
# Post-processing workflow: https://github.com/atedstone/gnssice,,,,
# Collection personnel: Andrew Tedstone, Horst Machguth, Nicole Clerx, Nicolas Jullien, Hannah Picton.
# Post-processing personnel: Andrew Tedstone (andrew.tedstone@unifr.ch).,,,,
# Data owner: University of Fribourg, Switzerland.,,,
"# Funding: Swiss Polar Institute (""HI-SLIDE"")", European Research Council (award 818994).,,,
# GNSS receiver provided by University of Edinburgh, UK.,,,
date,v_24h,,,
01/05/2022,92.26,,,
02/05/2022,92.26,,,
03/05/2022,92.26,,,
04/05/2022,92.26,,,
05/05/2022,92.26,,,
06/05/2022,92.26,,,
07/05/2022,92.26,,,
08/05/2022,92.26,,,
09/05/2022,92.26,,,
10/05/2022,92.26,,,
11/05/2022,92.26,,,
12/05/2022,92.26,,,
13/05/2022,92.26,,,
14/05/2022,92.26,,,
15/05/2022,92.26,,,
16/05/2022,92.26,,,
17/05/2022,92.26,,,
18/05/2022,92.26,,,
19/05/2022,90.98,,,
20/05/2022,93.1,,,
21/05/2022,93.1,,,
22/05/2022,93.1,,,
23/05/2022,93.1,,,
24/05/2022,93.1,,,
25/05/2022,93.1,,,
26/05/2022,93.1,,,
27/05/2022,93.1,,,
28/05/2022,93.1,,,
29/05/2022,93.1,,,
30/05/2022,93.1,,,
31/05/2022,93.1,,,
01/06/2022,93.1,,,
02/06/2022,92.99,,,
03/06/2022,93.44,,,
04/06/2022,95.37,,,
05/06/2022,93.44,,,
06/06/2022,94.38,,,
07/06/2022,94.98,,,
08/06/2022,94.64,,,
09/06/2022,93.01,,,
10/06/2022,94.4,,,
11/06/2022,95.02,,,
12/06/2022,94.29,,,
13/06/2022,96.03,,,
14/06/2022,91.48,,,
15/06/2022,94.85,,,
16/06/2022,93.12,,,
17/06/2022,97.74,,,
18/06/2022,92.52,,,
19/06/2022,94.81,,,
20/06/2022,95.1,,,
21/06/2022,93.25,,,
22/06/2022,93.09,,,
23/06/2022,96.34,,,
24/06/2022,93.94,,,
25/06/2022,93.77,,,
26/06/2022,95.63,,,
27/06/2022,94.94,,,
28/06/2022,90.27,,,
29/06/2022,94.19,,,
30/06/2022,95.82,,,
01/07/2022,93.56,,,
02/07/2022,93.24,,,
03/07/2022,94.16,,,
04/07/2022,92.56,,,
05/07/2022,96.56,,,
06/07/2022,93.57,,,
07/07/2022,94.97,,,
08/07/2022,92.8,,,
09/07/2022,97.18,,,
10/07/2022,97.38,,,
11/07/2022,92.71,,,
12/07/2022,97.44,,,
13/07/2022,96.14,,,
14/07/2022,96.15,,,
15/07/2022,97.76,,,
16/07/2022,102.27,,,
17/07/2022,101.16,,,
18/07/2022,98.66,,,
19/07/2022,104.57,,,
20/07/2022,103.42,,,
21/07/2022,102.52,,,
22/07/2022,109.78,,,
23/07/2022,109.77,,,
24/07/2022,112.74,,,
25/07/2022,133.1,,,
26/07/2022,136.35,,,
27/07/2022,132.25,,,
28/07/2022,136.73,,,
29/07/2022,126.54,,,
30/07/2022,131.39,,,
31/07/2022,126.39,,,
01/08/2022,129.53,,,
02/08/2022,205.68,,,
03/08/2022,125.81,,,
04/08/2022,123.62,,,
05/08/2022,133.08,,,
06/08/2022,158.88,,,
07/08/2022,151.11,,,
08/08/2022,164.82,,,
09/08/2022,184.92,,,
10/08/2022,191.28,,,
11/08/2022,166.23,,,
12/08/2022,141.13,,,
13/08/2022,127.1,,,
14/08/2022,124.08,,,
15/08/2022,121.87,,,
16/08/2022,106.67,,,
17/08/2022,108.58,,,
18/08/2022,111.78,,,
19/08/2022,112.5,,,
20/08/2022,110.65,,,
21/08/2022,111.51,,,
22/08/2022,101.48,,,
23/08/2022,105.04,,,
24/08/2022,95.91,,,
25/08/2022,94.38,,,
26/08/2022,98.32,,,
27/08/2022,96.63,,,
28/08/2022,95.28,,,
29/08/2022,92.45,,,
30/08/2022,97.01,,,
31/08/2022,92.47,,,
