
# Along-track daily velocities, metres per year, at lev 5 ("Site 6") during 2022.
# Approx. rover station coordinates (WGS84): 67.1531, -48.3715, 1439 m.
# Collection strategy: Leica GPS1200, mounted on metal pole frozen into ice, collecting data at 10-second resolution.
# Post-processing strategy: kinematic post-processing relative to off-ice base station at Russell Glacier using TRACK in GAMIT/GLOBK, processed in 24-hour blocks, with IGS Final/Restituted orbits and IONEX ionsphere maps.
# Post-processing workflow: https://github.com/atedstone/gnssice
# Collection personnel: Andrew Tedstone, Horst Machguth, Nicole Clerx, Nicolas Jullien, Hannah Picton.
# Post-processing personnel: Andrew Tedstone (andrew.tedstone@unifr.ch).
# Data owner: University of Fribourg, Switzerland.
# Funding: Swiss Polar Institute ("HI-SLIDE"), European Research Council (award 818994).
# GNSS receiver provided by University of Edinburgh, UK.
date,v_24h
2022-05-01,92.26
2022-05-02,92.26
2022-05-03,92.26
2022-05-04,92.26
2022-05-05,92.26
2022-05-06,92.26
2022-05-07,92.26
2022-05-08,92.26
2022-05-09,92.26
2022-05-10,92.26
2022-05-11,92.26
2022-05-12,92.26
2022-05-13,92.26
2022-05-14,92.26
2022-05-15,92.26
2022-05-16,92.26
2022-05-17,92.26
2022-05-18,92.26
2022-05-19,90.98
2022-05-20,93.1
2022-05-21,93.1
2022-05-22,93.1
2022-05-23,93.1
2022-05-24,93.1
2022-05-25,93.1
2022-05-26,93.1
2022-05-27,93.1
2022-05-28,93.1
2022-05-29,93.1
2022-05-30,93.1
2022-05-31,93.1
2022-06-01,93.1
2022-06-02,92.99
2022-06-03,93.44
2022-06-04,95.37
2022-06-05,93.44
2022-06-06,94.38
2022-06-07,94.98
2022-06-08,94.64
2022-06-09,93.01
2022-06-10,94.4
2022-06-11,95.02
2022-06-12,94.29
2022-06-13,96.03
2022-06-14,91.48
2022-06-15,94.85
2022-06-16,93.12
2022-06-17,97.74
2022-06-18,92.52
2022-06-19,94.81
2022-06-20,95.1
2022-06-21,93.25
2022-06-22,93.09
2022-06-23,96.34
2022-06-24,93.94
2022-06-25,93.77
2022-06-26,95.63
2022-06-27,94.94
2022-06-28,90.27
2022-06-29,94.19
2022-06-30,95.82
2022-07-01,93.56
2022-07-02,93.24
2022-07-03,94.16
2022-07-04,92.56
2022-07-05,96.56
2022-07-06,93.57
2022-07-07,94.97
2022-07-08,92.8
2022-07-09,97.18
2022-07-10,97.38
2022-07-11,92.71
2022-07-12,97.44
2022-07-13,96.14
2022-07-14,96.15
2022-07-15,97.76
2022-07-16,102.27
2022-07-17,101.16
2022-07-18,98.66
2022-07-19,104.57
2022-07-20,103.42
2022-07-21,102.52
2022-07-22,109.78
2022-07-23,109.77
2022-07-24,112.74
2022-07-25,133.1
2022-07-26,136.35
2022-07-27,132.25
2022-07-28,136.73
2022-07-29,126.54
2022-07-30,131.39
2022-07-31,126.39
2022-08-01,129.53
2022-08-02,205.68
2022-08-03,125.81
2022-08-04,123.62
2022-08-05,133.08
2022-08-06,158.88
2022-08-07,151.11
2022-08-08,164.82
2022-08-09,184.92
2022-08-10,191.28
2022-08-11,166.23
2022-08-12,141.13
2022-08-13,127.1
2022-08-14,124.08
2022-08-15,121.87
2022-08-16,106.67
2022-08-17,108.58
2022-08-18,111.78
2022-08-19,112.5
2022-08-20,110.65
2022-08-21,111.51
2022-08-22,101.48
2022-08-23,105.04
2022-08-24,95.91
2022-08-25,94.38
2022-08-26,98.32
2022-08-27,96.63
2022-08-28,95.28
2022-08-29,92.45
2022-08-30,97.01
2022-08-31,92.47
2022-09-01,92.67
2022-09-02,94.39
2022-09-03,92.19
2022-09-04,103.22
2022-09-05,180.07
2022-09-06,179.5
2022-09-07,173.53
2022-09-08,169.96
2022-09-09,147.2
2022-09-10,138.39
2022-09-11,127.32
2022-09-12,115.69
2022-09-13,109.38
2022-09-14,109.38
2022-09-15,109.38
2022-09-16,101.79
2022-09-17,100.84
2022-09-18,93.72
2022-09-19,91.84
2022-09-20,92.04
2022-09-21,90.52
2022-09-22,97.65
2022-09-23,98.55
2022-09-24,88.74
2022-09-25,80.83
2022-09-26,91.34
2022-09-27,91.34
2022-09-28,85.28
2022-09-29,89.14
2022-09-30,93.17
2022-10-01,93.73
2022-10-02,90.67
2022-10-03,83.1
2022-10-04,95.98
2022-10-05,84.8
2022-10-06,94.48
2022-10-07,81.22
2022-10-08,93.33
2022-10-09,31.18
2022-10-10,-59.53
2022-10-11,275.43
2022-10-12,161.15
2022-10-13,67.82
2022-10-14,94.07
2022-10-15,91.44
2022-10-16,92.28
2022-10-17,89.43
2022-10-18,91.49
2022-10-19,83.26
2022-10-20,79.67
2022-10-21,79.67
2022-10-22,79.67
2022-10-23,79.67
2022-10-24,79.67
2022-10-25,79.67
2022-10-26,79.67
2022-10-27,79.67
2022-10-28,79.67
2022-10-29,79.67
2022-10-30,79.67
2022-10-31,79.67
2022-11-01,79.67
2022-11-02,79.67
2022-11-03,79.67
2022-11-04,280.56
2022-11-05,112.4
2022-11-06,116.51
2022-11-07,116.51
2022-11-08,116.51
2022-11-09,105.95
2022-11-10,87.0
2022-11-11,91.9
2022-11-12,96.12
2022-11-13,96.12
2022-11-14,96.12
2022-11-15,96.12
2022-11-16,96.12
2022-11-17,96.12
2022-11-18,96.12
2022-11-19,96.12
2022-11-20,96.12
2022-11-21,96.12
2022-11-22,96.12
2022-11-23,96.12
2022-11-24,96.12
2022-11-25,96.12
2022-11-26,96.12
2022-11-27,96.12
2022-11-28,96.12
2022-11-29,96.12
2022-11-30,96.12
2022-12-01,96.12
