x,29/09/2022,25/09/2022,20/09/2022,17/09/2022,13/09/2022,08/09/2022,02/10/2022,winter_median,august_mean,elevation
0,19.50535583,,9.927509308,11.03810215,,13.4244709,32.85774994,23.72010422,13.5414232,205
801.761594,65.02869415,,45.22598267,26.21010399,,55.29848099,65.74143982,47.31764984,51.56432199,281
1603.523188,70.57594299,,75.88782501,60.63180161,,92.87718964,58.98327637,52.72647476,70.78254509,303
2405.284782,70.43214417,,84.65113831,104.7172775,,103.4386444,75.68704224,58.37759018,82.7858429,338
3207.046376,77.38600159,,78.97679901,68.89170074,,102.4037018,61.2019043,62.96146774,80.03866386,376
4008.80797,69.34620667,,82.1231842,53.2213974,,109.700531,68.06885529,67.24455261,91.60165405,407
4810.569564,69.20262909,,87.27397156,77.16794586,,119.4921951,71.57604218,71.81029129,105.7755966,422
5612.331158,65.17727661,,115.673027,89.41832733,,132.0658569,56.27051163,71.5761795,103.6399498,453
6414.092752,77.54762268,,111.243042,78.18503571,,147.8452911,72.55251312,75.67855835,109.6448936,474
7215.854346,81.88837433,,111.2665863,75.13067627,,153.5393677,73.76325989,78.22747803,110.8907146,490
8328.744771,79.91209412,,113.6676788,53.94361877,,158.0238037,78.26150513,82.86500931,128.7223167,505
9441.635197,84.56187439,,124.4390488,110.6193619,,141.8539734,76.55026245,86.39884186,124.1103039,550
10554.52562,95.8574295,,120.1913071,101.7362061,,173.9707642,78.77062225,83.10387421,122.4939308,562
11667.41605,100.2194366,,121.2877121,82.59220123,,175.9682312,105.8940277,89.46684265,110.9962997,583
12780.30647,105.5636673,,131.4610138,105.4633179,,178.3538971,106.516098,94.92925262,123.1740036,604
13893.1969,113.4074173,,130.41716,109.1821518,,212.6054382,115.2050323,107.255806,140.4702797,632
15006.08732,153.7073669,,128.0314484,126.5027008,,188.7121277,111.2872467,106.9055023,129.4788361,662
16118.97775,127.8341751,,134.7794189,164.7772522,,195.7812958,118.1748886,106.5084686,-9999,687
17231.86817,-9999,,-9999,-9999,,-9999,-9999,107.1386719,-9999,715
17383.6403,-9999,,-9999,-9999,,-9999,-9999,106.2478943,-9999,718
17535.41243,-9999,,-9999,-9999,,-9999,-9999,107.8448105,-9999,722
17687.18456,-9999,,-9999,-9999,,-9999,-9999,106.2937927,-9999,724
17838.9567,-9999,,-9999,-9999,,-9999,-9999,106.2937927,-9999,726
17990.72883,-9999,,-9999,-9999,,-9999,-9999,106.041069,-9999,728
18142.50096,-9999,,-9999,-9999,,-9999,-9999,106.041069,-9999,730
18294.27309,-9999,,-9999,-9999,,-9999,-9999,105.7056122,-9999,732
18446.04522,-9999,,-9999,-9999,,-9999,-9999,103.2125244,-9999,734
18597.81735,-9999,,-9999,-9999,,-9999,-9999,103.2125244,-9999,737
18749.58948,-9999,,-9999,-9999,,-9999,-9999,102.7759323,-9999,739
18901.36161,-9999,,-9999,-9999,,-9999,-9999,102.7759323,-9999,741
19053.13374,-9999,,-9999,-9999,,-9999,-9999,103.4516716,-9999,743
19204.90587,-9999,,-9999,-9999,,-9999,-9999,101.2935028,-9999,744
19356.678,-9999,,-9999,-9999,,-9999,-9999,101.2935028,-9999,744
19508.45013,-9999,,-9999,106.1435776,,-9999,-9999,100.7131729,-9999,745
19660.22226,-9999,,-9999,106.1435776,,-9999,-9999,100.7131729,-9999,747
19811.99439,-9999,,-9999,99.27290344,,-9999,-9999,99.30131531,-9999,750
19963.76652,-9999,,-9999,96.06829834,,-9999,-9999,98.84736252,-9999,751
20115.53865,-9999,,-9999,96.06829834,,-9999,-9999,98.84736252,-9999,753
20267.31078,-9999,,-9999,97.61869812,,-9999,-9999,97.62205505,-9999,755
20419.08291,-9999,,-9999,97.61869812,,-9999,-9999,97.62205505,-9999,758
20570.85504,-9999,,-9999,109.4329605,,-9999,-9999,97.92943192,-9999,761
20722.62717,-9999,,-9999,116.2926178,,-9999,-9999,97.53302765,-9999,763
20874.3993,-9999,,-9999,116.2926178,,-9999,-9999,97.53302765,-9999,766
21026.17143,-9999,,-9999,129.5379486,,-9999,-9999,99.04201508,-9999,769
21177.94356,-9999,,-9999,129.5379486,,-9999,-9999,99.04201508,-9999,770
21329.71569,-9999,,-9999,140.3226318,,-9999,-9999,97.83998108,-9999,772
21481.48782,115.4963303,,-9999,142.9373627,,-9999,-9999,96.28067017,-9999,774
21633.25995,118.0738525,,-9999,108.1555557,,-9999,-9999,99.49873352,-9999,775
21785.03209,-9999,,-9999,86.74977112,,-9999,-9999,98.00630951,-9999,777
21936.80422,-9999,,-9999,86.74977112,,-9999,-9999,98.00630951,-9999,777
22088.57635,-9999,,-9999,95.49291229,,-9999,-9999,96.11060333,-9999,777
22240.34848,-9999,,-9999,95.49291229,,-9999,-9999,96.11060333,-9999,778
22392.12061,-9999,,-9999,110.1422348,,-9999,-9999,93.95321655,-9999,781
22543.89274,-9999,,-9999,118.665184,,-9999,-9999,92.45925903,-9999,782
22695.66487,-9999,,-9999,118.665184,,-9999,-9999,92.45925903,-9999,783
22847.437,-9999,,-9999,122.4226685,,-9999,-9999,92.34576797,-9999,783
22999.20913,-9999,,-9999,129.3276672,,-9999,-9999,92.67974472,-9999,784
23150.98126,-9999,,-9999,127.5726166,,-9999,-9999,91.67834854,-9999,786
23302.75339,-9999,,-9999,127.5726166,,-9999,-9999,91.67834854,-9999,787
23454.52552,-9999,,-9999,126.3450928,,-9999,-9999,94.06167603,-9999,787
23606.29765,-9999,,-9999,126.3450928,,-9999,-9999,94.06167603,-9999,791
23758.06978,-9999,,-9999,-9999,,-9999,-9999,95.26083374,-9999,794
23909.84191,-9999,,-9999,-9999,,-9999,-9999,95.26083374,-9999,799
24101.77878,-9999,,-9999,98.45262146,,-9999,-9999,97.50018311,-9999,804
24293.71566,-9999,,-9999,76.49320221,,-9999,-9999,96.73897552,-9999,812
24485.65253,-9999,,-9999,90.66719818,,-9999,-9999,96.23413849,-9999,816
24677.5894,-9999,,-9999,-9999,,-9999,-9999,95.91612625,-9999,818
24869.52627,-9999,,-9999,-9999,,-9999,-9999,93.68069458,-9999,818
25061.46314,-9999,,-9999,-9999,,-9999,-9999,96.13063049,-9999,818
25253.40002,-9999,,-9999,-9999,,-9999,-9999,96.63105011,-9999,819
25445.33689,-9999,,-9999,-9999,,-9999,-9999,92.79905701,-9999,819
25637.27376,-9999,,-9999,-9999,,-9999,-9999,92.79905701,-9999,819
25829.21063,-9999,,-9999,-9999,,-9999,-9999,93.67952728,-9999,824
26021.1475,-9999,,-9999,-9999,,-9999,-9999,98.24846649,-9999,830
26213.08438,-9999,,-9999,-9999,,-9999,-9999,98.24846649,-9999,842
26405.02125,-9999,,-9999,-9999,,-9999,-9999,99.68212128,-9999,859
26596.95812,-9999,,-9999,-9999,,-9999,-9999,99.90349197,-9999,868
26788.89499,-9999,,-9999,-9999,,-9999,-9999,102.1519127,-9999,877
26980.83187,-9999,,-9999,-9999,,-9999,-9999,102.1519127,-9999,886
27172.76874,-9999,,-9999,-9999,,-9999,-9999,101.5152016,-9999,893
27364.70561,-9999,,-9999,-9999,,-9999,-9999,100.9281654,-9999,898
27556.64248,-9999,,-9999,-9999,,-9999,-9999,103.3764153,-9999,903
27748.57935,-9999,,-9999,-9999,,-9999,-9999,103.3764153,-9999,902
27940.51623,-9999,,-9999,-9999,,-9999,-9999,101.2467575,-9999,904
28132.4531,-9999,,-9999,-9999,,-9999,-9999,101.9111404,-9999,909
28324.38997,-9999,,-9999,-9999,,-9999,-9999,103.4227142,-9999,910
28516.32684,-9999,,-9999,-9999,,-9999,-9999,103.4227142,-9999,913
28708.26372,-9999,,-9999,-9999,,-9999,-9999,103.6797981,-9999,916
28900.20059,-9999,,-9999,-9999,,-9999,-9999,102.7215385,-9999,919
29092.13746,-9999,,-9999,-9999,,-9999,-9999,103.6008949,-9999,922
29284.07433,-9999,,-9999,-9999,,-9999,-9999,103.6008949,-9999,923
29476.0112,-9999,,-9999,-9999,,-9999,-9999,103.1384811,-9999,924
29667.94808,-9999,,-9999,-9999,,-9999,-9999,104.0619087,-9999,922
29859.88495,-9999,,-9999,-9999,,-9999,-9999,101.7535286,-9999,922
30249.25108,-9999,,-9999,-9999,,-9999,-9999,102.5671921,-9999,920
30638.61722,-9999,,-9999,-9999,,-9999,-9999,106.8298645,-9999,921
31027.98336,-9999,,-9999,-9999,,-9999,-9999,110.0760727,-9999,922
31417.34949,-9999,,-9999,-9999,,-9999,-9999,112.3547516,-9999,927
31806.71563,-9999,,-9999,-9999,,-9999,-9999,117.6507339,-9999,935
32196.08176,-9999,,-9999,-9999,,-9999,-9999,119.1158981,-9999,945
32585.4479,-9999,,-9999,-9999,,-9999,-9999,119.9524956,-9999,959
32974.81404,-9999,,-9999,-9999,,-9999,-9999,119.7210808,-9999,968
33364.18017,-9999,,-9999,-9999,,-9999,-9999,119.0721054,-9999,977
33753.54631,-9999,,-9999,-9999,,-9999,-9999,117.6107712,-9999,983
34142.91244,-9999,,-9999,-9999,,-9999,-9999,118.5059586,-9999,989
34532.27858,-9999,,-9999,-9999,,-9999,-9999,119.2598038,-9999,995
34921.64472,-9999,,-9999,-9999,,-9999,-9999,121.5483246,-9999,1000
35311.01085,-9999,,-9999,-9999,,-9999,-9999,120.902195,-9999,1004
35700.37699,-9999,,-9999,-9999,,-9999,-9999,120.6920586,-9999,1005
36089.74312,-9999,,-9999,-9999,,-9999,-9999,119.0574455,-9999,1003
36479.10926,-9999,,-9999,-9999,,-9999,-9999,119.8545227,-9999,1007
36868.4754,-9999,,-9999,-9999,,-9999,-9999,120.5605469,-9999,1018
37257.84153,-9999,,-9999,-9999,,-9999,-9999,121.116539,-9999,1035
37647.20767,-9999,,-9999,-9999,,-9999,-9999,119.5044937,-9999,1047
38036.5738,-9999,,-9999,-9999,,-9999,-9999,119.4138184,-9999,1054
38425.93994,-9999,,-9999,-9999,,-9999,-9999,115.2690277,-9999,1057
38815.30608,-9999,,-9999,-9999,,-9999,-9999,112.2318115,-9999,1049
39831.95712,-9999,,-9999,-9999,,-9999,-9999,108.7103271,-9999,1044
40848.60816,-9999,,-9999,-9999,,-9999,-9999,107.9589005,-9999,1056
41865.2592,-9999,,-9999,-9999,,-9999,-9999,108.0428848,-9999,1067
42881.91024,-9999,,-9999,-9999,,-9999,-9999,108.6241646,-9999,1078
43898.56128,-9999,,-9999,-9999,,-9999,-9999,108.4109192,-9999,1086
44915.21232,-9999,,-9999,-9999,,-9999,-9999,110.5499954,-9999,1105
45931.86336,-9999,,-9999,-9999,,-9999,-9999,109.6622849,-9999,1129
46948.5144,-9999,,-9999,-9999,,-9999,-9999,108.8841248,-9999,1152
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
