x,29/09/2022,25/09/2022,20/09/2022,17/09/2022,13/09/2022,08/09/2022,02/10/2022,winter_median,august_mean,elevation
0,22.12829018,,27.99353027,12.70242882,,51.45309067,21.11812592,23.71581364,32.07256031,302
430.6350832,34.45005417,,51.39430618,32.76463318,,93.13895416,38.82197952,43.2632637,60.47710419,333
861.2701663,40.74979019,,57.91007996,36.65985489,,105.0730209,48.24813461,49.37809563,69.63516426,368
1291.905249,50.1764183,,56.38330841,40.28171539,,108.6305542,61.85946274,55.12876892,75.74089622,368
1722.540333,54.81827927,,54.38949966,54.39207077,,104.5391006,57.39380264,55.23583031,76.30576706,398
2153.175416,59.56595612,,60.4222641,53.91736603,,110.0616455,41.88462448,53.3916111,77.53173637,418
2583.810499,62.23245621,,63.49843979,50.34532928,,117.1835022,37.62697983,53.61468124,79.28555107,429
3014.445582,68.53975677,,75.2098465,59.21074677,,137.9991913,40.0536499,57.24489784,88.12075806,455
3445.080665,70.02005005,,77.21806335,72.27523804,,147.9744568,36.7130661,58.23318481,89.30485153,479
3875.715748,67.54447937,,77.45755768,69.90338135,,145.7880096,34.93700409,56.22843742,90.4935379,491
4306.350832,59.45991135,,79.48281097,56.07989502,,141.875824,30.8996315,58.65469742,92.90114212,495
4736.985915,60.08009338,,82.63092804,51.63906097,,144.7985535,31.24471855,59.32862854,94.72210884,507
5167.620998,58.08679581,,84.33614349,53.75786209,,150.8414459,39.48073196,63.91060257,100.6619492,509
5598.256081,67.10442352,,93.00948334,63.08100128,,167.8559875,41.76269913,67.79606628,111.9795876,520
6028.891164,69.92614746,,104.4235916,63.45837784,,187.1905365,47.7574234,74.43727875,121.1549873,538
6459.526247,68.65663147,,112.2794037,87.24939728,,206.5753174,52.90005875,78.18086243,126.2376804,552
6890.161331,77.04942322,,112.385376,91.5375061,,206.6927643,59.02284241,79.64560699,127.3214016,562
7320.796414,105.5844193,,121.2872238,99.71164703,,192.4239807,65.29184723,83.64174652,136.9387341,571
7751.431497,105.6420135,,120.5938339,109.6951065,,185.9277649,81.25024414,83.79428101,133.2499142,586
8182.06658,96.96658325,,117.2272491,121.5189743,,182.1692505,84.94072723,83.06269836,136.9008465,604
9100.302098,93.94748688,,113.1281891,96.91230774,,204.3438873,78.88063812,81.54034424,127.8247814,621
10018.53762,86.75810242,,107.2456741,127.9255981,,212.3919983,61.68788147,81.70487213,130.0173893,635
10936.77313,91.51170349,,101.164772,142.0942383,,219.0686188,63.83193588,78.85461807,135.8766384,654
11855.00865,95.48465729,,107.0988235,138.6749115,,196.2539215,70.72264099,76.98953247,114.9156113,691
12773.24417,95.44017792,,106.0984421,107.1354752,,210.4346619,83.00833893,76.82264709,112.3189697,710
13691.47969,111.935463,,103.116394,102.5948181,,207.0482025,91.36536407,81.14707947,116.177784,735
14609.71521,101.7707901,,130.6673889,126.2462006,,201.5813293,102.6541977,84.37091827,98.9004364,772
15527.95072,93.48451996,,123.5533752,125.8136063,,191.5782471,70.06046295,82.08637619,126.5785217,774
16446.18624,79.91981506,,123.7270279,103.3967896,,192.6580048,68.56395721,78.76674652,131.5273285,791
17364.42176,73.97203827,,104.6752014,105.1401596,,203.2415009,73.6023407,78.33924103,158.9496002,799
