x,29/09/2022,25/09/2022,20/09/2022,17/09/2022,13/09/2022,08/09/2022,02/10/2022,winter_median,august_mean,elevation
0,34.69781113,38.92054749,11.73234463,18.26767731,17.21774864,34.25307465,16.8967247,18.13585854,20.81146832,200
480.9112384,55.51885986,63.08774948,32.19998932,47.46569061,43.12182617,62.25720978,-9999,24.88531208,33.19645691,221
961.8224768,73.41091919,70.93474579,41.50267029,46.25960541,63.64428711,80.05220795,-9999,35.10053253,38.12718277,222
1442.733715,81.80548096,66.4413147,58.8807106,62.54146957,87.87229156,125.8342133,69.12129211,54.23274231,60.56881943,329
1923.644954,56.12198639,63.86982346,68.39627838,86.74593353,104.6439896,152.2902832,82.0474472,63.80098534,87.65443573,360
2404.556192,46.22296143,67.27618408,70.56880188,73.56187439,104.1883545,153.4737244,79.94316101,64.92062759,90.58327179,356
2885.46743,36.36787033,74.41560364,75.88832092,58.76881409,98.14328766,160.1365814,67.05065918,64.40086365,88.6064003,367
3366.378669,38.62372971,78.96425629,77.96855164,65.39611053,102.5087738,168.1493378,62.70088959,64.98548889,91.19324951,385
3847.289907,26.737957,92.33000946,75.1658783,70.29525757,100.6179123,178.3514252,59.53326416,66.47359467,100.6156158,388
4328.201146,24.07485199,87.80133057,76.68103027,64.95561218,100.9703522,183.7802124,57.26010895,68.51897812,104.9012955,397
4809.112384,32.42928696,86.95514679,83.03186798,54.29963303,104.6561127,189.1849823,61.21515274,72.85990143,104.9965424,415
5290.023623,51.32297897,88.97406769,94.3059845,63.74277115,106.1191864,203.1528015,66.33287048,82.70206833,111.8153946,432
5770.934861,55.53358078,81.8748703,95.13555145,58.43653107,101.4273453,209.5587769,67.52851105,84.82588959,114.6670853,455
6251.846099,57.16765213,83.22263336,95.1967926,67.2928009,106.8814926,214.0598145,69.48922729,86.98613739,114.6069748,471
6526.937383,68.82679749,87.80587769,95.10463715,78.4690094,116.4859238,222.75383,73.66338348,86.85778809,114.6496231,471
6802.028666,87.43322754,88.845047,97.26528931,77.12679291,120.1176376,235.5004883,71.32678986,90.0857811,120.0145401,473
7077.119949,92.38228607,93.10735321,105.4735107,79.22119141,121.8211594,241.2640839,68.61256409,94.07683563,123.0428818,487
7352.211233,93.39065552,87.92272949,99.15680695,64.36545563,121.3811798,245.9547882,70.75096893,95.64798355,124.5312088,492
7627.302516,82.48023224,91.65123749,105.0708084,66.11449432,125.5110245,250.8450775,74.0655899,97.28680801,125.9233154,493
7902.393799,73.63249207,97.12704468,113.3786469,72.05212402,132.804306,253.1018829,77.76602936,101.7047195,130.1840652,510
8177.485083,58.29088974,101.2797623,118.8032913,75.7596283,138.993042,257.8198242,94.97476196,104.9589767,138.9456253,524
